2024-01-09 22:35:27,601 INFO    MainThread:15016 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2024-01-09 22:35:27,602 INFO    MainThread:15016 [wandb_setup.py:_flush():76] Configure stats pid to 15016
2024-01-09 22:35:27,602 INFO    MainThread:15016 [wandb_setup.py:_flush():76] Loading settings from C:\Users\denis\.config\wandb\settings
2024-01-09 22:35:27,602 INFO    MainThread:15016 [wandb_setup.py:_flush():76] Loading settings from D:\UBB\CVDL\Project\wandb\settings
2024-01-09 22:35:27,602 INFO    MainThread:15016 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-01-09 22:35:27,602 INFO    MainThread:15016 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-09 22:35:27,602 INFO    MainThread:15016 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': 'd:\\UBB\\CVDL\\Project\\train.py', 'program': 'd:\\UBB\\CVDL\\Project\\train.py'}
2024-01-09 22:35:27,602 INFO    MainThread:15016 [wandb_init.py:_log_setup():524] Logging user logs to D:\UBB\CVDL\Project\wandb\run-20240109_223527-w7sqk0q7\logs\debug.log
2024-01-09 22:35:27,603 INFO    MainThread:15016 [wandb_init.py:_log_setup():525] Logging internal logs to D:\UBB\CVDL\Project\wandb\run-20240109_223527-w7sqk0q7\logs\debug-internal.log
2024-01-09 22:35:27,603 INFO    MainThread:15016 [wandb_init.py:init():564] calling init triggers
2024-01-09 22:35:27,603 INFO    MainThread:15016 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {}
2024-01-09 22:35:27,603 INFO    MainThread:15016 [wandb_init.py:init():614] starting backend
2024-01-09 22:35:27,603 INFO    MainThread:15016 [wandb_init.py:init():618] setting up manager
2024-01-09 22:35:27,604 INFO    MainThread:15016 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-01-09 22:35:27,608 INFO    MainThread:15016 [wandb_init.py:init():624] backend started and connected
2024-01-09 22:35:27,610 INFO    MainThread:15016 [wandb_init.py:init():716] updated telemetry
2024-01-09 22:35:27,650 INFO    MainThread:15016 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-01-09 22:35:28,563 INFO    MainThread:15016 [wandb_run.py:_on_init():2254] communicating current version
2024-01-09 22:35:28,936 INFO    MainThread:15016 [wandb_run.py:_on_init():2263] got version response 
2024-01-09 22:35:28,936 INFO    MainThread:15016 [wandb_init.py:init():800] starting run threads in backend
2024-01-09 22:35:29,063 INFO    MainThread:15016 [wandb_run.py:_console_start():2233] atexit reg
2024-01-09 22:35:29,063 INFO    MainThread:15016 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-09 22:35:29,063 INFO    MainThread:15016 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-09 22:35:29,063 INFO    MainThread:15016 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-09 22:35:29,063 INFO    MainThread:15016 [wandb_init.py:init():841] run started, returning control to user process
2024-01-09 22:35:29,064 INFO    MainThread:15016 [wandb_run.py:_config_callback():1342] config_cb None None {'epochs': 3, 'batch_size': 4, 'learning_rate': 0.001, 'test_percent': 0.1, 'validation_percent': 0.2, 'save_checkpoint': False}
2024-01-09 22:47:05,952 WARNING MsgRouterThr:15016 [router.py:message_loop():77] message_loop has been closed
